Station,Date,"Gust Speed","Gust Dir","Solar Rad"
id,date,mph,degrees,W/m2
nuc01,"11/27/2025",-999,-999,-999
nuc01,"11/28/2025",-999,-999,-999
nuc01,"11/29/2025",-999,-999,-999
nuc01,"11/30/2025",-999,-999,-999
nuc01,"12/01/2025",-999,-999,-999
nwd01,"11/25/2025",15.43,125.6,126.16
nwd01,"11/26/2025",14.09,119.6,123.26
nwd01,"11/27/2025",15.43,118.5,127.55
nwd01,"11/28/2025",16.61,251.1,109.61
nwd01,"11/29/2025",14.09,293.3,127.31
nwd01,"11/30/2025",19.3,198.8,22.94
nwd01,"12/01/2025",13.76,109.3,101.62
orm02,"11/25/2025",13.31,23.9,116.51
orm02,"11/26/2025",14.43,139.4,111.24
orm02,"11/27/2025",17.78,155.2,125.61
orm02,"11/28/2025",10.51,183.8,98.19
orm02,"11/29/2025",10.51,0.6,122.52
orm02,"11/30/2025",18.9,168.6,22.75
orm02,"12/01/2025",16.11,167.0,130.8
oth01,"11/25/2025",8.33,325.2,115.16
oth01,"11/26/2025",6.82,211.4,113.54
oth01,"11/27/2025",10.35,314.3,121.87
oth01,"11/28/2025",10.01,295.1,98.03
oth01,"11/29/2025",7.66,308.3,125.35
oth01,"11/30/2025",11.69,341.0,17.64
oth01,"12/01/2025",12.86,265.1,108.8
pai01,"11/25/2025",30.65,233.1,114.83
pai01,"11/26/2025",10.51,137.3,60.31
pai01,"11/27/2025",17.22,116.8,80.97
pai01,"11/28/2025",17.22,128.2,42.21
pai01,"11/29/2025",23.38,348.0,115.03
pai01,"11/30/2025",18.9,127.9,60.86
pai01,"12/01/2025",20.02,287.0,114.68
pbw01,"11/25/2025",-999,-999,-999
pbw01,"11/26/2025",-999,-999,-999
pbw01,"11/27/2025",-999,-999,-999
pbw01,"11/28/2025",-999,-999,-999
pbw01,"11/29/2025",-999,-999,-999
pbw01,"11/30/2025",-999,-999,-999
pbw01,"12/01/2025",-999,-999,-999
pgs01,"11/25/2025",10.01,177.4,129.86
pgs01,"11/26/2025",9.65,190.2,123.11
pgs01,"11/27/2025",11.47,40.9,128.63
pgs01,"11/28/2025",13.3,180.8,133.44
pgs01,"11/29/2025",12.2,197.3,135.83
pgs01,"11/30/2025",10.6,18.6,39.63
